O	date	RS	RA	home/visitor	win/lose/draw	starting:lose/draw/win	day/night	saving_transition			
1	2019/3/29	3	7 	1	1	0	1	-1			
2	2019/3/30	4	4 	1	2	0.5	0	-1			
3	2019/3/31	1	3 	1	1	0	0	-2			
4	2019/4/2	4	11 	0	1	0	1	-3			
5	2019/4/3	0	0 	0	2	0.5	1	-3			
6	2019/4/4	0	3 	0	1	0	1	-4			
7	2019/4/5	2	0 	0	0	1	1	-3			
8	2019/4/6	3	1 	0	0	1	0	-2			
9	2019/4/7	5	5 	0	2	0.5	0	-2			
10	2019/4/9	4	5 	1	1	0	1	-3			
11	2019/4/10	0	0 	1	0	1	1	-3			
12	2019/4/11	2	1 	1	0	1	1	-2			
13	2019/4/12	0	1 	1	1	0	1	-3			
14	2019/4/13	1	3 	1	0	1	0	-2			
15	2019/4/14	3	11 	1	1	0	0	-3			
16	2019/4/16	9	0 	0	0	1	1	-2			
17	2019/4/17	6	4 	0	0	1	1	-1			
18	2019/4/18	3	7 	0	1	0	1	-2			
19	2019/4/19	5	4 	1	0	1	1	-1			
20	2019/4/20	3	5 	1	1	0	0	-2			
21	2019/4/21	3	7 	1	1	0	0	-3			
22	2019/4/22	1	3 	1	1	0	1	-4			
23	2019/4/24	3	2 	1	0	1	1	-3			
24	2019/4/25	0	3 	1	1	0	1	-4			
25	2019/4/27	7	11 	0	1	0	0	-5			
26	2019/4/28	2	4 	0	1	0	0	-6			
27	2019/4/29	5	3 	0	0	1	0	-5			
28	2019/5/1	0	4 	0	1	0	1	-6			
29	2019/5/2	2	1 	0	0	1	0	-5			
30	2019/5/3	3	1 	0	0	1	0	-4			
31	2019/5/4	0	4 	1	1	0	0	-5			
32	2019/5/5	2	7 	1	1	0	0	-6			
33	2019/5/6	6	9 	1	1	0	0	-7			
34	2019/5/8	0	1 	1	1	0	1	-8			
35	2019/5/9	2	1 	1	0	1	1	-7			
36	2019/5/10	8	6 	0	0	1	1	-6			
37	2019/5/11	6	3 	0	0	1	0	-5			
38	2019/5/12	5	8 	0	1	0	0	-6			
39	2019/5/15	3	2 	1	0	1	1	-5			
40	2019/5/16	2	9 	1	1	0	1	-6			
41	2019/5/17	5	7 	0	1	0	1	-7			
42	2019/5/18	2	1 	0	0	1	0	-6			
43	2019/5/19	3	9 	0	1	0	0	-7			
44	2019/5/21	4	8 	0	1	0	1	-8			
45	2019/5/22	5	4 	0	0	1	1	-7			
46	2019/5/24	2	3 	1	1	0	1	-8			
47	2019/5/25	4	1 	1	0	1	0	-7			
48	2019/5/26	1	4 	1	1	0	0	-8			
49	2019/5/28	3	1 	0	0	1	1	-7			
50	2019/5/29	2	5 	0	1	0	1	-8			
51	2019/5/30	4	5 	0	1	0	1	-9			
52	2019/5/31	0	4 	0	1	0	1	-10			
53	2019/6/1	8	8 	0	2	0.5	0	-10			
54	2019/6/2	5	8 	0	1	0	0	-11			
55	2019/6/4	1	3 	0	1	0	1	-12			
56	2019/6/5	5	0 	0	0	1	1	-11			
57	2019/6/6	3	2 	0	0	1	1	-10			
58	2019/6/7	0	0 	1	2	0.5	1	-10			
59	2019/6/8	5	4 	1	0	1	0	-9			
60	2019/6/9	4	9 	1	1	0	0	-10			
61	2019/6/11	1	2 	0	1	0	1	-11			
62	2019/6/12	2	6 	0	1	0	1	-12			
63	2019/6/13	6	5 	0	0	1	1	-11			
64	2019/6/14	6	4 	0	0	1	1	-10			
65	2019/6/15	3	2 	0	0	1	1	-9			
66	2019/6/16	5	5 	0	2	0.5	0	-9			
67	2019/6/18	3	4 	1	1	0	1	-10			
68	2019/6/19	4	3 	1	0	1	1	-9			
69	2019/6/20	2	4 	1	1	0	1	-10			
70	2019/6/21	5	4 	1	0	1	1	-9			
71	2019/6/22	3	2 	1	0	1	0	-8			
72	2019/6/23	9	3 	1	0	1	0	-7			
73	2019/6/24	6	2 	1	0	1	1	-6			
74	2019/6/28	4	0 	1	0	1	1	-5			
75	2019/6/29	0	7 	1	1	0	0	-6			
76	2019/6/30	3	11 	1	1	0	0	-7			
77	2019/7/2	6	5 	0	0	1	1	-6			
78	2019/7/3	6	12 	0	1	0	1	-7			
79	2019/7/4	4	2 	0	0	1	1	-6			
80	2019/7/5	2	6 	0	1	0	1	-7			
81	2019/7/6	5	6 	0	1	0	1	-8			
82	2019/7/7	5	2 	0	0	1	0	-7			
83	2019/7/8	2	0 	1	0	1	1	-6			
84	2019/7/9	1	6 	1	1	0	1	-7			
85	2019/7/10	7	6 	1	0	1	1	-6			
86	2019/7/15	2	6 	0	1	0	0	-7			
87	2019/7/16	1	0 	0	0	1	1	-6			
88	2019/7/17	3	7 	0	1	0	1	-7			
89	2019/7/19	4	5 	1	1	0	1	-8			
90	2019/7/20	3	1 	1	0	1	1	-7			
91	2019/7/21	3	10 	1	1	0	1	-8			
92	2019/7/23	2	5 	0	1	0	1	-9			
93	2019/7/24	4	5 	0	1	0	1	-10			
94	2019/7/26	6	2 	1	0	1	1	-9			
95	2019/7/27	5	3 	1	0	1	1	-8			
96	2019/7/28	2	9 	1	1	0	0	-9			
97	2019/7/30	1	4 	1	1	0	1	-10			
98	2019/7/31	8	4 	1	0	1	1	-9			
99	2019/8/1	6	7 	1	1	0	1	-10			
